  Mh = 0.8

  Q 
0.10000E+01 0.10965E+01 0.12023E+01 0.13183E+01 0.14454E+01
0.15849E+01 0.17378E+01 0.19055E+01 0.20893E+01 0.22909E+01
0.25119E+01 0.27542E+01 0.30200E+01 0.33113E+01 0.36308E+01
0.39811E+01 0.43652E+01 0.47863E+01 0.52481E+01 0.57544E+01
0.63096E+01 0.69183E+01 0.75858E+01 0.83176E+01 0.91201E+01
0.10000E+02 0.10965E+02 0.12023E+02 0.13183E+02 0.14454E+02
0.15849E+02 0.17378E+02 0.19055E+02 0.20893E+02 0.22909E+02
0.25119E+02 0.27542E+02 0.30200E+02 0.33113E+02 0.36308E+02
0.39811E+02 0.43652E+02 0.47863E+02 0.52481E+02 0.57544E+02
0.63096E+02 0.69183E+02 0.75858E+02 0.83176E+02 0.91201E+02

  z 
0.20000E+00 0.22667E+00 0.25333E+00 0.28000E+00 0.30667E+00
0.33333E+00 0.36000E+00 0.38667E+00 0.41333E+00 0.44000E+00
0.46667E+00 0.49333E+00 0.52000E+00 0.54667E+00 0.57333E+00
0.60000E+00 0.62667E+00 0.65333E+00 0.68000E+00 0.70667E+00
0.73333E+00 0.76000E+00 0.78667E+00 0.81333E+00 0.84000E+00
0.86667E+00 0.89333E+00 0.92000E+00 0.94667E+00 0.97333E+00


  anti-t       anti-b       anti-c       anti-s       anti-u       anti-d       g            d            u            s            c            b            t
  0.00000E+00 -0.10408E-16  0.64818E-02  0.48667E-01  0.22721E+00  0.22828E+00  0.59376E-03  0.22828E+00  0.22721E+00  0.48667E-01  0.64818E-02 -0.10408E-16  0.00000E+00
  0.00000E+00 -0.52042E-17  0.36097E-02  0.34685E-01  0.17933E+00  0.18016E+00  0.38663E-03  0.18016E+00  0.17933E+00  0.34685E-01  0.36097E-02 -0.52042E-17  0.00000E+00
  0.00000E+00 -0.17347E-17  0.18171E-02  0.23342E-01  0.13408E+00  0.13472E+00  0.22931E-03  0.13472E+00  0.13408E+00  0.23342E-01  0.18171E-02 -0.17347E-17  0.00000E+00
  0.00000E+00 -0.86736E-17  0.78571E-03  0.14487E-01  0.92059E-01  0.92545E-01  0.11744E-03  0.92545E-01  0.92059E-01  0.14487E-01  0.78571E-03 -0.86736E-17  0.00000E+00
  0.00000E+00 -0.86736E-18  0.26773E-03  0.79665E-02  0.54187E-01  0.54552E-01  0.46213E-04  0.54552E-01  0.54187E-01  0.79665E-02  0.26773E-03 -0.86736E-18  0.00000E+00
  0.00000E+00 -0.21684E-17  0.68054E-04  0.36187E-02  0.22072E-01  0.22341E-01  0.97990E-05  0.22341E-01  0.22072E-01  0.36187E-02  0.68054E-04 -0.21684E-17  0.00000E+00
  0.00000E+00 -0.13878E-16  0.43040E+00  0.63517E+00  0.67973E+00  0.67579E+00  0.52350E-01  0.67579E+00  0.67973E+00  0.63517E+00  0.43040E+00 -0.13878E-16  0.00000E+00
  0.00000E+00 -0.41633E-16  0.55688E+00  0.71053E+00  0.84428E+00  0.84594E+00  0.51844E-01  0.84594E+00  0.84428E+00  0.71053E+00  0.55688E+00 -0.41633E-16  0.00000E+00
  0.00000E+00 -0.97145E-16  0.67767E+00  0.77164E+00  0.99698E+00  0.10027E+01  0.49944E-01  0.10027E+01  0.99698E+00  0.77164E+00  0.67767E+00 -0.97145E-16  0.00000E+00
  0.00000E+00 -0.83267E-16  0.76049E+00  0.80513E+00  0.11092E+01  0.11178E+01  0.46904E-01  0.11178E+01  0.11092E+01  0.80513E+00  0.76049E+00 -0.83267E-16  0.00000E+00
  0.00000E+00 -0.16653E-15  0.79632E+00  0.80960E+00  0.11740E+01  0.11845E+01  0.43148E-01  0.11845E+01  0.11740E+01  0.80960E+00  0.79632E+00 -0.16653E-15  0.00000E+00
